year,value
1961,7.67855
1962,7.69263
1963,7.70671
1964,7.72067
1965,7.73486
1966,7.74882
1967,7.70923
1968,7.66954
1969,7.62984
1970,7.59014
1971,7.55055
1972,7.54527
1973,7.5401
1974,7.53493
1975,7.52977
1976,7.5246
1977,7.46884
1978,7.41309
1979,7.35723
1980,7.30147
1981,7.24572
1982,7.28827
1983,7.33094
1984,7.3735
1985,7.41617
1986,7.45862
1987,7.45719
1988,7.45565
1989,7.45389
1990,7.45235
1991,7.4507
1992,7.45741
1993,7.464
1994,7.4706
1995,7.4772
1996,7.48391
1997,7.4717
1998,7.45961
1999,7.4474
2000,7.4353
2001,7.4231
2002,7.42475
2003,7.42673
2004,7.42848
2005,7.43046
2006,7.25286
2007,7.17901
2008,7.10516
2009,7.03141
2010,6.95756
2011,6.8837
2012,6.88533
2013,6.88696
2014,6.88858
2015,6.89021
2016,6.89184
