year,geo,age,sex,(ICD-O-3),characteristics,uom,value
2013,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,143115
2014,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,145300
2015,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,148125
2016,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,151150
2017,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,149435
2013,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",530.6
2014,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",532.5
2015,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",538.1
2016,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",542.1
2017,Canada (excluding Quebec),"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",529.1
2013,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,3400
2014,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,3560
2015,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,3490
2016,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,3635
2017,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,3540
2013,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",645
2014,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",674
2015,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",660.8
2016,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",686.6
2017,Newfoundland and Labrador,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Cancer incidence rate,"Rate per 100,000 population",670
2013,Prince Edward Island,"Total, all ages",Both sexes,"Total, all primary sites of cancer [C00.0-C80.9]",Number of new cancer cases,Number,875
