date,geo,farm_class,uom,value
2011,Canada,Total number of farms,number,205730
2016,Canada,Total number of farms,number,193492
2011,Canada,Farms under 10 acres,number,12991
2016,Canada,Farms under 10 acres,number,13193
2011,Canada,Farms 10 to 69 acres,number,32705
2016,Canada,Farms 10 to 69 acres,number,32036
2011,Canada,Farms 70 to 129 acres,number,24205
2016,Canada,Farms 70 to 129 acres,number,22494
2011,Canada,Farms 130 to 179 acres,number,21705
2016,Canada,Farms 130 to 179 acres,number,20148
2011,Canada,Farms 180 to 239 acres,number,11719
2016,Canada,Farms 180 to 239 acres,number,10644
2011,Canada,Farms 240 to 399 acres,number,24974
2016,Canada,Farms 240 to 399 acres,number,22986
2011,Canada,Farms 400 to 559 acres,number,15053
2016,Canada,Farms 400 to 559 acres,number,13645
2011,Canada,Farms 560 to 759 acres,number,11781
2016,Canada,Farms 560 to 759 acres,number,10792
2011,Canada,"Farms 760 to 1,119 acres",number,13413
2016,Canada,"Farms 760 to 1,119 acres",number,12143
2011,Canada,"Farms 1,120 to 1,599 acres",number,10831
2016,Canada,"Farms 1,120 to 1,599 acres",number,9640
2011,Canada,"Farms 1,600 to 2,239 acres",number,9222
2016,Canada,"Farms 1,600 to 2,239 acres",number,8335
2011,Canada,"Farms 2,240 to 2,879 acres",number,5230
2016,Canada,"Farms 2,240 to 2,879 acres",number,4982
2011,Canada,"Farms 2,880 to 3,519 acres",number,3482
2016,Canada,"Farms 2,880 to 3,519 acres",number,3365
2011,Canada,"Farms 3,520 acres and over",number,8419
2016,Canada,"Farms 3,520 acres and over",number,9089
2011,Newfoundland and Labrador,Total number of farms,number,510
2016,Newfoundland and Labrador,Total number of farms,number,407
2011,Newfoundland and Labrador,Farms under 10 acres,number,121
2016,Newfoundland and Labrador,Farms under 10 acres,number,93
2011,Newfoundland and Labrador,Farms 10 to 69 acres,number,203
2016,Newfoundland and Labrador,Farms 10 to 69 acres,number,144
2011,Newfoundland and Labrador,Farms 70 to 129 acres,number,72
2016,Newfoundland and Labrador,Farms 70 to 129 acres,number,62
2011,Newfoundland and Labrador,Farms 130 to 179 acres,number,23
2016,Newfoundland and Labrador,Farms 130 to 179 acres,number,24
2011,Newfoundland and Labrador,Farms 180 to 239 acres,number,17
2016,Newfoundland and Labrador,Farms 180 to 239 acres,number,21
2011,Newfoundland and Labrador,Farms 240 to 399 acres,number,26
2016,Newfoundland and Labrador,Farms 240 to 399 acres,number,24
2011,Newfoundland and Labrador,Farms 400 to 559 acres,number,20
2016,Newfoundland and Labrador,Farms 400 to 559 acres,number,12
2011,Newfoundland and Labrador,Farms 560 to 759 acres,number,6
2016,Newfoundland and Labrador,Farms 560 to 759 acres,number,5
2011,Newfoundland and Labrador,"Farms 760 to 1,119 acres",number,11
2016,Newfoundland and Labrador,"Farms 760 to 1,119 acres",number,10
2011,Newfoundland and Labrador,"Farms 1,120 to 1,599 acres",number,2
2016,Newfoundland and Labrador,"Farms 1,120 to 1,599 acres",number,2
2011,Newfoundland and Labrador,"Farms 1,600 to 2,239 acres",number,3
2016,Newfoundland and Labrador,"Farms 1,600 to 2,239 acres",number,6
2011,Newfoundland and Labrador,"Farms 2,240 to 2,879 acres",number,4
2016,Newfoundland and Labrador,"Farms 2,240 to 2,879 acres",number,2
2011,Newfoundland and Labrador,"Farms 2,880 to 3,519 acres",number,1
2016,Newfoundland and Labrador,"Farms 2,880 to 3,519 acres",number,1
2011,Newfoundland and Labrador,"Farms 3,520 acres and over",number,1
2016,Newfoundland and Labrador,"Farms 3,520 acres and over",number,1
2011,Prince Edward Island,Total number of farms,number,1495
2016,Prince Edward Island,Total number of farms,number,1353
2011,Prince Edward Island,Farms under 10 acres,number,70
2016,Prince Edward Island,Farms under 10 acres,number,64
2011,Prince Edward Island,Farms 10 to 69 acres,number,275
2016,Prince Edward Island,Farms 10 to 69 acres,number,253
2011,Prince Edward Island,Farms 70 to 129 acres,number,225
2016,Prince Edward Island,Farms 70 to 129 acres,number,195
2011,Prince Edward Island,Farms 130 to 179 acres,number,141
2016,Prince Edward Island,Farms 130 to 179 acres,number,116
2011,Prince Edward Island,Farms 180 to 239 acres,number,128
2016,Prince Edward Island,Farms 180 to 239 acres,number,115
2011,Prince Edward Island,Farms 240 to 399 acres,number,238
2016,Prince Edward Island,Farms 240 to 399 acres,number,207
2011,Prince Edward Island,Farms 400 to 559 acres,number,110
2016,Prince Edward Island,Farms 400 to 559 acres,number,106
2011,Prince Edward Island,Farms 560 to 759 acres,number,89
2016,Prince Edward Island,Farms 560 to 759 acres,number,87
2011,Prince Edward Island,"Farms 760 to 1,119 acres",number,99
2016,Prince Edward Island,"Farms 760 to 1,119 acres",number,82
2011,Prince Edward Island,"Farms 1,120 to 1,599 acres",number,47
2016,Prince Edward Island,"Farms 1,120 to 1,599 acres",number,53
2011,Prince Edward Island,"Farms 1,600 to 2,239 acres",number,36
2016,Prince Edward Island,"Farms 1,600 to 2,239 acres",number,29
2011,Prince Edward Island,"Farms 2,240 to 2,879 acres",number,21
2016,Prince Edward Island,"Farms 2,240 to 2,879 acres",number,27
2011,Prince Edward Island,"Farms 2,880 to 3,519 acres",number,11
2016,Prince Edward Island,"Farms 2,880 to 3,519 acres",number,13
2011,Prince Edward Island,"Farms 3,520 acres and over",number,5
2016,Prince Edward Island,"Farms 3,520 acres and over",number,6
2011,Nova Scotia,Total number of farms,number,3905
2016,Nova Scotia,Total number of farms,number,3478
2011,Nova Scotia,Farms under 10 acres,number,406
2016,Nova Scotia,Farms under 10 acres,number,413
2011,Nova Scotia,Farms 10 to 69 acres,number,907
2016,Nova Scotia,Farms 10 to 69 acres,number,856
2011,Nova Scotia,Farms 70 to 129 acres,number,637
2016,Nova Scotia,Farms 70 to 129 acres,number,501
2011,Nova Scotia,Farms 130 to 179 acres,number,317
2016,Nova Scotia,Farms 130 to 179 acres,number,280
2011,Nova Scotia,Farms 180 to 239 acres,number,343
2016,Nova Scotia,Farms 180 to 239 acres,number,295
2011,Nova Scotia,Farms 240 to 399 acres,number,574
2016,Nova Scotia,Farms 240 to 399 acres,number,471
2011,Nova Scotia,Farms 400 to 559 acres,number,302
2016,Nova Scotia,Farms 400 to 559 acres,number,310
2011,Nova Scotia,Farms 560 to 759 acres,number,192
2016,Nova Scotia,Farms 560 to 759 acres,number,148
2011,Nova Scotia,"Farms 760 to 1,119 acres",number,137
2016,Nova Scotia,"Farms 760 to 1,119 acres",number,111
2011,Nova Scotia,"Farms 1,120 to 1,599 acres",number,48
2016,Nova Scotia,"Farms 1,120 to 1,599 acres",number,43
2011,Nova Scotia,"Farms 1,600 to 2,239 acres",number,21
2016,Nova Scotia,"Farms 1,600 to 2,239 acres",number,28
2011,Nova Scotia,"Farms 2,240 to 2,879 acres",number,6
2016,Nova Scotia,"Farms 2,240 to 2,879 acres",number,6
2011,Nova Scotia,"Farms 2,880 to 3,519 acres",number,4
2016,Nova Scotia,"Farms 2,880 to 3,519 acres",number,8
2011,Nova Scotia,"Farms 3,520 acres and over",number,11
2016,Nova Scotia,"Farms 3,520 acres and over",number,8
2011,New Brunswick,Total number of farms,number,2611
2016,New Brunswick,Total number of farms,number,2255
2011,New Brunswick,Farms under 10 acres,number,187
2016,New Brunswick,Farms under 10 acres,number,200
2011,New Brunswick,Farms 10 to 69 acres,number,420
2016,New Brunswick,Farms 10 to 69 acres,number,402
2011,New Brunswick,Farms 70 to 129 acres,number,389
2016,New Brunswick,Farms 70 to 129 acres,number,280
2011,New Brunswick,Farms 130 to 179 acres,number,198
2016,New Brunswick,Farms 130 to 179 acres,number,184
2011,New Brunswick,Farms 180 to 239 acres,number,249
2016,New Brunswick,Farms 180 to 239 acres,number,202
2011,New Brunswick,Farms 240 to 399 acres,number,408
2016,New Brunswick,Farms 240 to 399 acres,number,362
2011,New Brunswick,Farms 400 to 559 acres,number,290
2016,New Brunswick,Farms 400 to 559 acres,number,211
2011,New Brunswick,Farms 560 to 759 acres,number,174
2016,New Brunswick,Farms 560 to 759 acres,number,143
2011,New Brunswick,"Farms 760 to 1,119 acres",number,154
2016,New Brunswick,"Farms 760 to 1,119 acres",number,136
2011,New Brunswick,"Farms 1,120 to 1,599 acres",number,70
2016,New Brunswick,"Farms 1,120 to 1,599 acres",number,60
2011,New Brunswick,"Farms 1,600 to 2,239 acres",number,41
2016,New Brunswick,"Farms 1,600 to 2,239 acres",number,39
2011,New Brunswick,"Farms 2,240 to 2,879 acres",number,11
2016,New Brunswick,"Farms 2,240 to 2,879 acres",number,14
2011,New Brunswick,"Farms 2,880 to 3,519 acres",number,3
2016,New Brunswick,"Farms 2,880 to 3,519 acres",number,3
2011,New Brunswick,"Farms 3,520 acres and over",number,17
2016,New Brunswick,"Farms 3,520 acres and over",number,19
2011,Quebec,Total number of farms,number,29437
2016,Quebec,Total number of farms,number,28919
2011,Quebec,Farms under 10 acres,number,1956
2016,Quebec,Farms under 10 acres,number,2137
2011,Quebec,Farms 10 to 69 acres,number,5152
2016,Quebec,Farms 10 to 69 acres,number,5514
2011,Quebec,Farms 70 to 129 acres,number,4617
2016,Quebec,Farms 70 to 129 acres,number,4704
2011,Quebec,Farms 130 to 179 acres,number,2914
2016,Quebec,Farms 130 to 179 acres,number,2728
2011,Quebec,Farms 180 to 239 acres,number,3221
