year,area
1961,698250
1962,699530
1963,700810
1964,702080
1965,703370
1966,704640
1967,701040
1968,697430
1969,693820
1970,690210
1971,686610
1972,686130
1973,685660
1974,685190
1975,684720
1976,684250
1977,679180
1978,674110
1979,669030
1980,663960
1981,658890
1982,662760
1983,666640
1984,670510
1985,674390
1986,678250
1987,678120
1988,677980
1989,677820
1990,677680
1991,677530
1992,678140
1993,678740
1994,679340
1995,679940
1996,680550
1997,679440
1998,678340
1999,677230
2000,676130
2001,675020
2002,675170
2003,675350
2004,675510
2005,675690
2006,659540
2007,652823.98
2008,646108.01
2009,639401.99
2010,632686.02
2011,625970
2012,626118.01
2013,626266.02
2014,626413.98
2015,626561.99
2016,626710
